3000000	1
3000001	1
3000002	1
3000003	1
3000004	1
3000005	1
3000006	1
3000007	1
3000008	1
3000009	2
3000010	2
3000011	2
3000012	2
3000013	2
3000014	1
3000015	1
3000016	1
3000017	1
3000018	1
3000019	1
3000020	1
3000021	1
3000022	1
3000023	1
3000024	1
3000025	1
3000026	1
3000027	1
3000028	1
3000029	2
3000030	2
3000031	2
3000032	2
3000033	2
3000034	2
3000035	2
3000036	2
3000037	2
3000038	2
3000039	2
3000040	2
3000041	2
3000042	2
3000043	2
3000044	3
3000045	3
3000046	3
3000047	3
3000048	3
3000049	3
3000050	3
3000051	3
3000052	3
3000053	3
3000054	3
3000055	3
3000056	3
3000057	3
3000058	3
3000059	4
3000060	4
3000061	4
3000062	4
3000063	4
3000064	4
3000065	4
3000066	4
3000067	4
3000068	4
3000069	4
3000070	4
3000071	4
3000072	4
3000073	4
3000074	5
3000075	5
3000076	5
3000077	5
3000078	5
3000079	5
3000080	5
3000081	5
3000082	5
3000083	5
3000084	5
3000085	5
3000086	5
3000087	5
3000088	5
3000089	6
3000090	6
3000091	6
3000092	6
3000093	6
3000094	6
3000095	6
3000096	6
3000097	6
3000098	6
3000099	6
